id,groupId,artifactId,version,openSource,licenseNames,licenseUrls,name,developers,description,url,pomUrl,,,,,,,,
9B886A052760684BBFE9C7E5C70433ED,junit,junit,4.13,TRUE,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,JUnit,David Saff;Kevin Cooney;Stefan Birkner;Marc Philipp,"JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.",http://junit.org,http://junit.org,,,,,,,,
29872165E7AF084B8A7A1DC5298E1D0A,org.hamcrest,hamcrest-library,1.3,TRUE,-,-,Hamcrest library,-,Hamcrest library of matcher implementations.,-,-,,,,,,,,
9791A4ADF8AE71478CA7514CAABCDDD5,junit,junit,4.13-beta-1,TRUE,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,JUnit,David Saff;Kevin Cooney;Stefan Birkner;Marc Philipp,"JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.",http://junit.org,http://junit.org,,,,,,,,
DD6C71FC2792E541B467B82E441CC4AE,junit,junit,4.13-beta-2,TRUE,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,JUnit,David Saff;Kevin Cooney;Stefan Birkner;Marc Philipp,"JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.",http://junit.org,http://junit.org,,,,,,,,
04FCDB598938B6458AB282F09CCE7255,junit,junit,4.13-beta-3,TRUE,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,JUnit,David Saff;Kevin Cooney;Stefan Birkner;Marc Philipp,"JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.",http://junit.org,http://junit.org,,,,,,,,
95082F5A395F8F478EA838DA327E7411,junit,junit,4.13-rc-1,TRUE,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,JUnit,David Saff;Kevin Cooney;Stefan Birkner;Marc Philipp,"JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.",http://junit.org,http://junit.org,,,,,,,,
3A98427CDC17BA42A01FDA8B1397A4BC,junit,junit,4.13-rc-2,TRUE,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,JUnit,David Saff;Kevin Cooney;Stefan Birkner;Marc Philipp,"JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.",http://junit.org,http://junit.org,,,,,,,,
9CC6C5AFD2136447A3AD8A2361EC58EE,junit,junit,4.13.1,TRUE,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,JUnit,David Saff;Kevin Cooney;Stefan Birkner;Marc Philipp,"JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.",http://junit.org,http://junit.org,,,,,,,,
56D071A4DFDF6F4C8D708E953FDB6DDE,junit,junit,4.13.2,TRUE,Eclipse Public License 1.0,http://www.eclipse.org/legal/epl-v10.html,JUnit,David Saff;Kevin Cooney;Stefan Birkner;Marc Philipp,"JUnit is a unit testing framework for Java, created by Erich Gamma and Kent Beck.",http://junit.org,http://junit.org,,,,,,,,
20FFFEEF4EF58E4DA4C1B81BA7657E49,junit,junit,4.2,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
7977A25F00A54A4D9B57E25A66740CD3,junit,junit,4.3,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
401F008016B23E4B93BB3E051CD2D479,junit,junit,4.3.1,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
FFA811AB2F803445A5C02A20730B9792,junit,junit,4.4,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
3941ED670B693845BC14A1DED3075EAB,junit,junit,4.5,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
0FE6EC56DC72AC45BE995A2F48A58469,junit,junit,4.6,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
BCC98859DF9A5E4ABED21BFE265CADBA,junit,junit,4.7,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
238E00C90CF6554BA308818C49BAF433,junit,junit,4.8,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,Erich Gamma;Kent Beck;David Saff,JUnit is a regression testing framework. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
